Year,Country/State,Number of schools,Number of teachers,Numbers of pupil,SPM Candidates,LAYAK DAPAT SIJIL,LAYAK DAPAT SIJIL %,GPN
2000,Malaysia,1645,113249,1998781,395612,298764,90.78,5.15
2001,Malaysia,1726,118312,2038262,410567,306798,91.54,5.33
2002,Malaysia,1819,124408,2052956,420220,341276,93.2,5.23
2003,Malaysia,1902,127773,2098817,420058,345678,89.7,5.41
2004,Malaysia,1976,132298,2156215,425178,356789,88.43,5.29
2005,Malaysia,2028,136598,2219068,438132,367090,91,5.39
2006,Malaysia,2047,138583,2228066,416717,358060,89.7,5.42
2007,Malaysia,2058,145174,2253383,439255,382286,90.8,5.47
2008,Malaysia,2181,159016,2310660,448365,347443,90.8,5.24
2009,Malaysia,2219,170677,2331901,465853,364046,90.8,5.34
2010,Malaysia,2248,175241,2242341,404135,368559,91.2,5.15
2011,Malaysia,2282,177388,2327427,406305,370396,91.16,5.04
2012,Malaysia,2307,177462,2326498,410140,373250,91.01,5.08
2013,Malaysia,2347,177811,2320300,409466,349383,85.33,5.19
2014,Malaysia,2375,180224,2159906,394601,334729,84.83,5.57
2015,Malaysia,2397,181975,2072162,378861,316506,84.76,5.66
2016,Malaysia,2407,181719,2049030,376007,313667,84.79,5.1
2017,Malaysia,2416,181633,2005876,380024,318938,85.21,4.9
2018,Malaysia,2433,183476,2075618,357243,303343,86.35,4.89
2019,Malaysia,2439,182432,2045777,354124,301510,86.72,4.86
2020,Malaysia,2440,180178,1988781,347137,302477,88.68,4.8
